Date,Open,High,Low,Close,Volume,Ticker
2024-10-30,18.85,19.29,18.74,18.74,2177471,NYSE:MP
2024-10-31,18.55,18.56,17.79,17.99,2150255,NYSE:MP
2024-11-01,18.2,18.42,18.02,18.23,1817985,NYSE:MP
2024-11-04,18.34,18.65,18,18.25,2070658,NYSE:MP
2024-11-05,18.25,18.94,18.05,18.61,2379425,NYSE:MP
2024-11-06,19.54,19.87,19,19.68,4788578,NYSE:MP
2024-11-07,19.7,20.05,19.38,19.98,3189354,NYSE:MP
2024-11-08,19.8,19.82,18.87,19.5,3124994,NYSE:MP
2024-11-11,19.6,20.58,19.38,20.41,2529058,NYSE:MP
2024-11-12,20.09,20.38,19.57,19.85,2040240,NYSE:MP
2024-11-13,20,20.1,18.75,19.12,3518606,NYSE:MP
2024-11-14,19.09,19.28,18.43,18.57,2678496,NYSE:MP
2024-11-15,18.73,18.73,18.02,18.28,2118953,NYSE:MP
2024-11-18,18.15,18.68,18,18.35,1828315,NYSE:MP
2024-11-19,18.31,18.33,17.65,18.02,1730509,NYSE:MP
2024-11-20,17.89,18.32,17.68,18.23,1225378,NYSE:MP
2024-11-21,18.18,19.12,18.01,18.73,1592199,NYSE:MP
2024-11-22,18.72,19.87,18.53,19.64,2339902,NYSE:MP
2024-11-25,19.88,21.04,19.88,20.84,2727294,NYSE:MP
2024-11-26,20.5,20.66,19.97,20.25,3269699,NYSE:MP
2024-11-27,20.7,21.26,20.56,20.84,2007349,NYSE:MP
2024-11-29,20.95,21.7,20.95,21.07,1079768,NYSE:MP
2024-12-02,21.11,21.11,20.29,20.81,2891346,NYSE:MP
2024-12-03,23.07,24.01,22.5,23.11,12832531,NYSE:MP
2024-12-04,23.21,23.6,20.61,21.13,6454371,NYSE:MP
2024-12-05,20.88,21.06,20,20.01,3536420,NYSE:MP
2024-12-06,20.34,20.47,19.54,19.72,2118943,NYSE:MP
2024-12-09,20.37,21.13,20.15,20.52,3029965,NYSE:MP
2024-12-10,20.25,20.25,19.38,19.54,4162840,NYSE:MP
2024-12-11,19.69,19.8,19.01,19.45,1981053,NYSE:MP
2024-12-12,19.25,19.73,18.9,19.6,2127127,NYSE:MP
2024-12-13,19.28,19.4,18.85,19.37,2252623,NYSE:MP
2024-12-16,19.08,19.21,18.58,18.79,2407706,NYSE:MP
2024-12-17,18.58,18.8,18.18,18.37,2567267,NYSE:MP
2024-12-18,18.2,18.36,16.54,16.73,3143050,NYSE:MP
2024-12-19,16.95,17.2,15.97,16.18,4543664,NYSE:MP
2024-12-20,16.03,16.26,15.71,15.84,4509656,NYSE:MP
2024-12-23,15.82,16.38,15.68,16.29,2650489,NYSE:MP
2024-12-24,16.42,16.56,16.25,16.54,857892,NYSE:MP
2024-12-26,16.5,16.95,16.3,16.84,2046757,NYSE:MP
2024-12-27,16.71,16.99,16.34,16.46,1529411,NYSE:MP
2024-12-30,16.27,16.27,15.78,15.98,2327772,NYSE:MP
2024-12-31,16.01,16.18,15.56,15.6,2305386,NYSE:MP
2025-01-02,15.85,16.52,15.77,16.39,3008880,NYSE:MP
2025-01-03,16.55,18.37,16.51,18.2,4892111,NYSE:MP
2025-01-06,19.25,21.14,18.8,20.46,10553784,NYSE:MP
2025-01-07,20.72,21.13,20.3,20.58,2844202,NYSE:MP
2025-01-08,20.27,20.27,18.89,19.38,2665313,NYSE:MP
2025-01-10,19.47,20.06,19.2,19.75,2089649,NYSE:MP
2025-01-13,19.43,19.7,19.2,19.53,2174093,NYSE:MP
2025-01-14,19.84,20.1,19.23,19.39,1283427,NYSE:MP
2025-01-15,20.25,21.28,19.95,20.61,3114555,NYSE:MP
2025-01-16,20.23,21.39,19.93,21.17,2535231,NYSE:MP
2025-01-17,21.44,21.52,20.9,20.94,1978438,NYSE:MP
2025-01-21,21.24,21.35,19.72,20.87,2999915,NYSE:MP
2025-01-22,21.5,21.9,21.03,21.08,2351459,NYSE:MP
2025-01-23,21.01,21.55,20.75,21.41,1461512,NYSE:MP
2025-01-24,21.81,22.12,21.45,21.57,3716812,NYSE:MP
2025-01-27,20.85,21.71,20.79,21.52,2316958,NYSE:MP
2025-01-28,21.58,21.71,20.61,20.82,1541397,NYSE:MP
2025-01-29,20.87,21.14,20.53,20.68,1501695,NYSE:MP
2025-01-30,21.13,21.93,20.93,21.74,2102223,NYSE:MP
2025-01-31,21.76,22.28,21.6,21.96,2844863,NYSE:MP
2025-02-03,22.35,23.67,21.81,22.23,5228158,NYSE:MP
2025-02-04,22.63,24.78,22.63,24.47,8831326,NYSE:MP
2025-02-05,24.47,24.54,23.12,23.56,4570260,NYSE:MP
2025-02-06,24.2,24.8,23.68,24.11,4407643,NYSE:MP
2025-02-07,24,24.13,23.37,23.94,3882372,NYSE:MP
2025-02-10,24.13,26,23.91,25.52,6625344,NYSE:MP
2025-02-11,25,25.14,24.42,24.69,3215579,NYSE:MP
2025-02-12,24.34,24.7,23.88,24.15,2408480,NYSE:MP
2025-02-13,24.37,24.59,23.66,24.38,2374666,NYSE:MP
2025-02-14,24.68,24.69,23.51,23.72,1741897,NYSE:MP
2025-02-18,23.82,24.26,23.44,23.45,2241466,NYSE:MP
2025-02-19,23.25,23.51,22.6,22.99,2746899,NYSE:MP
2025-02-20,22.98,23.38,22.6,23.18,1919333,NYSE:MP
2025-02-21,24.57,24.7,23.48,24.3,4661664,NYSE:MP
2025-02-24,24.44,24.84,23.54,24.27,3105937,NYSE:MP
2025-02-25,24.19,24.23,22.82,23.56,3075875,NYSE:MP
2025-02-26,24.11,25.35,23.77,23.77,3117675,NYSE:MP
2025-02-27,23.87,24.5,23.3,23.46,2036675,NYSE:MP
2025-02-28,23.11,24.1,22.82,24.01,2579125,NYSE:MP
2025-03-03,24.14,24.63,22.25,22.53,4165665,NYSE:MP
2025-03-04,22.17,23.15,21.2,22.45,3456875,NYSE:MP
2025-03-05,24.04,25.66,23.59,25.66,5011887,NYSE:MP
2025-03-06,25.07,25.77,24.01,24.4,3515516,NYSE:MP
2025-03-07,24.01,25.16,23.6,24.98,2400876,NYSE:MP
2025-03-10,24.8,25.65,24.16,24.42,3991974,NYSE:MP
2025-03-11,24.1,25.55,23.64,24.01,3234277,NYSE:MP
2025-03-12,24.53,24.73,23.16,24.34,2690963,NYSE:MP
2025-03-13,24.34,24.86,24.17,24.38,2075749,NYSE:MP
2025-03-14,25,26.95,24.67,26.83,4822422,NYSE:MP
2025-03-17,26.57,27.05,26.45,26.69,3578770,NYSE:MP
2025-03-18,26.54,27,26.03,26.83,4309508,NYSE:MP
2025-03-19,26.93,27.29,26.33,26.81,2693818,NYSE:MP
2025-03-20,26.66,27.24,26.1,26.25,4207934,NYSE:MP
2025-03-21,26.2,26.2,24.96,25.9,4614284,NYSE:MP
2025-03-24,26.22,26.92,26.06,26.46,2635038,NYSE:MP
2025-03-25,26.62,27.26,26.56,26.93,2933709,NYSE:MP
2025-03-26,27,27.05,25.71,26.06,2244044,NYSE:MP
2025-03-27,25.49,26.58,25.26,26.17,2147587,NYSE:MP
2025-03-28,25.8,26.49,25.65,25.97,3139313,NYSE:MP
2025-03-31,24.93,25.11,23.41,24.41,3586721,NYSE:MP
2025-04-01,24.27,25.38,24.18,25.17,2765741,NYSE:MP
2025-04-02,24.85,25.49,24.64,25.16,1842366,NYSE:MP
2025-04-03,23.76,25.63,23.66,24.82,3717020,NYSE:MP
2025-04-04,26.1,26.45,22.12,23.06,8168128,NYSE:MP
2025-04-07,21.8,25.5,21.77,23.99,5256468,NYSE:MP
2025-04-08,26,26.11,21.57,21.94,5268575,NYSE:MP
2025-04-09,22.36,24.13,21.16,23.81,7116760,NYSE:MP
2025-04-10,23.29,23.92,22.64,23.54,3836371,NYSE:MP
2025-04-11,23.04,23.49,21.56,22.68,9026467,NYSE:MP
2025-04-14,25.19,28.4,24.58,27.59,23657243,NYSE:MP
2025-04-15,29.28,29.72,24.85,25.07,15803233,NYSE:MP
2025-04-16,26.07,29.13,25.79,27.58,18086883,NYSE:MP
2025-04-17,27.7,28.18,24.7,26.35,20286375,NYSE:MP
2025-04-21,25.88,25.95,22.26,23.19,12265017,NYSE:MP
2025-04-22,23.06,23.4,21.85,22.85,11127879,NYSE:MP
2025-04-23,22.89,24.04,22.57,22.89,6330688,NYSE:MP
2025-04-24,23.37,26.28,23.21,26.01,10857889,NYSE:MP
2025-04-25,25.75,26.1,24.35,24.41,6209198,NYSE:MP
2025-04-28,24.77,25.67,24.18,24.85,4117895,NYSE:MP
2025-04-29,24.76,25.09,23.52,24.58,5974498,NYSE:MP
2025-04-30,23.55,24.68,22.71,24.46,5924289,NYSE:MP
2025-05-01,24.02,25.03,23.96,24.34,3324906,NYSE:MP
2025-05-02,24.95,25.57,24.6,25.01,3274206,NYSE:MP
2025-05-05,25.06,25.74,24.87,25.2,3675960,NYSE:MP
2025-05-06,24.66,24.75,24.05,24.69,4114131,NYSE:MP
2025-05-07,24.45,24.46,23.12,23.62,4827488,NYSE:MP
2025-05-08,23.71,24.39,23.61,23.85,6427707,NYSE:MP
2025-05-09,23.86,24.73,20.94,21.95,11597868,NYSE:MP
2025-05-12,22.57,22.58,20.75,21.14,8732637,NYSE:MP
2025-05-13,21.08,21.11,20.05,20.77,6724932,NYSE:MP
2025-05-14,22.15,22.41,20.86,21.08,10131125,NYSE:MP
2025-05-15,21,21.56,20.67,21.32,2716200,NYSE:MP
2025-05-16,21.05,21.69,21,21.31,4300276,NYSE:MP
2025-05-19,20.67,21.33,20.52,21.25,2760363,NYSE:MP
2025-05-20,21.06,21.2,20.51,20.64,4619581,NYSE:MP
2025-05-21,20.4,20.4,19.38,19.5,5250050,NYSE:MP
